internship_title,internship_company,required_skills,internship_location,required_education,Stipend,mode,duration
Sales Executive,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"Consumer Insights, Brand Management, Sales",Jaipur,BA,"7,539.00",in-person,3 months
Grid Engineer,NTPC-SAIL POWER COMPANY LIMITED,"Thermal Power, Maintenance",Delhi,BBA,"6,333.00",in-person,2 months
Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA,"6,698.00",in-person,4 months
Ore Processing Technician,VEDANTA LIMITED,"Exploration, Environmental Compliance, Mining Engineering",Delhi,PhD,"4,267.00",hybrid,9 months
Exploration Geologist,HINDALCO INDUSTRIES LIMITED,"Safety Management, Exploration, Environmental Compliance, Surveying",Hyderabad,MBA,"3,388.00",online,11 months
DevOps Engineer,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Cloud Computing, Java, Data Analysis",Bangalore,PhD,"4,279.00",online,2 months
Network Engineer,ERICSSON INDIA PRIVATE LIMITED,"IoT, Telecom Infrastructure, Optical Fiber, Data Transmission",Hyderabad,Diploma,"4,887.00",online,9 months
Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc,"7,011.00",hybrid,10 months
Web Developer,MRF LIMITED,"Java, Python, Cloud Computing",Lucknow,BCA,"8,519.00",in-person,12 months
Mineral Processing Engineer,PRAKASH INDUSTRIES LIMITED,"Surveying, Safety Management",Chennai,BBA,"3,018.00",online,5 months
DevOps Engineer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"React, DevOps",Mumbai,BCA,"2,921.00",in-person,11 months
Cloud Architect,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"DevOps, Python, React",Pune,BCA,"2,116.00",hybrid,6 months
QA Engineer,MUTHOOT FINANCE LIMITED,"Data Analysis, SQL, JavaScript, Cybersecurity",Bangalore,BCA,"4,422.00",in-person,4 months
Software Developer,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD,"React, SQL, Cybersecurity, Data Analysis",Chennai,B.Sc,"7,647.00",in-person,3 months
Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech,"8,177.00",hybrid,3 months
QA Engineer,HSBC SOFTWARE DEVELOPMENT (INDIA) PRIVATE LIMITED,"Cybersecurity, Machine Learning",Pune,BBA,"5,511.00",online,5 months
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc,"7,864.00",in-person,10 months
Machine Learning Engineer,SOBHA LIMITED,"JavaScript, SQL",Pune,MBA,"5,973.00",hybrid,8 months
QA Engineer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"React, Cybersecurity, Data Analysis, JavaScript",Chennai,B.Tech,"1,878.00",hybrid,11 months
Surveyor,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,"Structural Design, Surveying, Safety Management, Quality Control",Hyderabad,MBA,"8,326.00",in-person,2 months
IT Support,BA CONTINUUM INDIA PRIVATE LIMITED,"SQL, React, Machine Learning, JavaScript",Bangalore,B.Sc,"8,055.00",online,7 months
Ore Processing Technician,RUNGTA MINES LIMITED,"Ore Processing, Mining Engineering",Pune,MBA,"7,162.00",online,2 months
IT Support,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Java, Cloud Computing, Python",Delhi,B.Tech,"9,087.00",online,12 months
Machine Learning Engineer,CAN FIN HOMES LIMITED,"Cloud Computing, DevOps, Data Analysis",Jaipur,MBA,"8,110.00",online,10 months
Web Developer,SIEMENS LIMITED,"React, SQL",Kolkata,BCA,"7,962.00",in-person,12 months
Risk Analyst,THE NEW INDIA ASSURANCE COMPANY LIMITED,"Investment Banking, Loan Processing",Pune,BCA,"6,011.00",in-person,12 months
Surveyor,TUBE INVESTMENTS OF INDIA LIMITED,"Exploration, Geology, Mineral Processing",Chennai,MBA,"9,312.00",online,4 months
Procurement Executive,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Warehouse Operations, Distribution",Mumbai,Diploma,"8,164.00",hybrid,11 months
Renewable Energy Specialist,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Mumbai,B.Com,"8,236.00",in-person,4 months
R&D Engineer,HP INDIA SALES PRIVATE LIMITED,"Embedded Systems, Manufacturing, Testing",Chennai,BCA,"8,848.00",in-person,12 months
DevOps Engineer,BRAKES INDIA PRIVATE LIMITED,"React, SQL, DevOps",Pune,B.Com,"2,265.00",hybrid,8 months
DevOps Engineer,MANAPPURAM FINANCE LIMITED,"Cloud Computing, Java, Data Analysis",Delhi,BBA,"2,003.00",in-person,7 months
Mineral Processing Engineer,CENTRAL COALFIELDS LIMITED,"Mining Engineering, Geology",Remote,Diploma,"1,768.00",in-person,3 months
Surveyor,BIOP STEELS & POWER PRIVATE LIMITED,"Geology, Surveying",Jaipur,BA,"2,050.00",hybrid,7 months
Construction Manager,MSPL LIMITED,"Construction Management, Estimation, Civil Engineering",Lucknow,B.Tech,"7,718.00",in-person,6 months
QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc,"2,441.00",in-person,12 months
Supply Chain Analyst,RELIANCE RETAIL VENTURES LIMITED,"Supply Chain, Consumer Insights, Sales, Retail Management",Jaipur,M.Sc,"4,366.00",in-person,11 months
Brand Manager,PFIZER LIMITED,"Distribution, Sales, Product Development",Chennai,PhD,"7,702.00",in-person,9 months
Cloud Architect,ASIAN PAINTS LIMITED,"Machine Learning, Python, JavaScript",Hyderabad,B.Sc,"7,998.00",hybrid,5 months
Mineral Processing Engineer,KIOCL LIMITED,"Ore Processing, Environmental Compliance, Exploration, Surveying",Chennai,B.Sc,"4,802.00",online,3 months
Data Analyst,WNS GLOBAL SERVICES PRIVATE LIMITED,"Python, React, Java",Hyderabad,B.Com,"2,561.00",in-person,6 months
Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc,"5,358.00",hybrid,12 months
Supply Chain Analyst,DIVI S LABORATORIES LIMITED,"Supply Chain, Sales",Remote,BCA,"3,103.00",online,10 months
Machine Learning Engineer,GODREJ SEEDS & GENETICS LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech,"3,256.00",hybrid,12 months
Data Analyst,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"JavaScript, React",Hyderabad,BA,"5,538.00",in-person,12 months
Data Analyst,THE CLEARING CORPORATION OF INDIA LIMITED,"Java, Cloud Computing",Mumbai,MBA,"8,951.00",online,10 months
Machine Learning Engineer,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"React, SQL, Cloud Computing, Python",Remote,B.Sc,"8,449.00",hybrid,7 months
Data Analyst,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"Cloud Computing, JavaScript, Python",Delhi,BBA,"9,282.00",in-person,3 months
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Machine Learning, JavaScript, SQL",Pune,BBA,"5,688.00",hybrid,10 months
Data Analyst,NOKIA SOLUTIONS AND NETWORKS INDIA PRIVATE LIMITED,"RF Engineering, Optical Fiber",Hyderabad,MBA,"9,806.00",hybrid,11 months
Surveyor,TUBE INVESTMENTS OF INDIA LIMITED,"Exploration, Geology, Mineral Processing",Chennai,MBA,"3,730.00",hybrid,3 months
Construction Manager,MODERN ROAD MAKERS P LTD,"Construction Management, Quality Control, Surveying",Chennai,Diploma,"4,246.00",in-person,3 months
Software Developer,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"JavaScript, Python, Machine Learning, DevOps",Kolkata,B.Com,"9,291.00",in-person,12 months
Brand Manager,GLENMARK PHARMACEUTICALS LIMITED,"Brand Management, Marketing, Product Development, Distribution",Kolkata,BA,"6,796.00",online,12 months
Safety Officer,BHUSHAN POWER & STEEL LIMITED,"Ore Processing, Exploration, Surveying, Environmental Compliance",Remote,B.Com,"2,917.00",online,3 months
QA Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"DevOps, SQL",Delhi,B.Tech,"4,627.00",online,2 months
Project Engineer,JSW ENERGY (BARMER) LIMITED,"Transmission, Maintenance, Grid Management",Lucknow,MBA,"9,817.00",in-person,11 months
Supply Chain Analyst,HINDUSTAN COCA-COLA BEVERAGES PRIVATE LIMITED,"Sales, Brand Management, Distribution, Product Development",Bangalore,B.Sc,"4,613.00",online,11 months
Consumer Insights Analyst,ALEMBIC PHARMACEUTICALS LIMITED,"Distribution, Sales",Hyderabad,B.Sc,"7,370.00",in-person,3 months
Safety Officer,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Surveying, Exploration, Ore Processing",Hyderabad,B.Tech,"1,838.00",hybrid,10 months
Consumer Insights Analyst,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,"Marketing, Consumer Insights, Supply Chain",Pune,Diploma,"5,858.00",hybrid,7 months
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech,"5,666.00",hybrid,2 months
Transportation Specialist,CONTAINER CORPORATION OF INDIA LIMITED,"Procurement, Warehouse Operations, Freight Management",Mumbai,BCA,"3,584.00",in-person,4 months
Supply Chain Analyst,RELIANCE RETAIL VENTURES LIMITED,"Supply Chain, Consumer Insights, Sales, Retail Management",Jaipur,M.Sc,"6,194.00",in-person,2 months
Software Developer,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX),"Cloud Computing, Machine Learning, Cybersecurity, Java",Jaipur,M.Sc,"4,184.00",online,4 months
Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech,"4,103.00",online,3 months
Machine Learning Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Data Analysis, Machine Learning, React",Mumbai,BBA,"5,553.00",hybrid,9 months
Data Analyst,FINOLEX CABLES LIMITED,"Python, Cloud Computing",Bangalore,B.Sc,"7,997.00",hybrid,7 months
IT Support,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Machine Learning, Cybersecurity, Cloud Computing, JavaScript",Hyderabad,MBA,"7,920.00",online,12 months
Software Developer,IIFL HOME FINANCE LIMITED,"JavaScript, Java, SQL, DevOps",Bangalore,B.Tech,"7,466.00",online,2 months
Network Engineer,INDUS TOWERS LIMITED,"Optical Fiber, Wireless Communication",Lucknow,MBA,"5,764.00",hybrid,12 months
Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc,"8,747.00",online,8 months
Safety Officer,RASHMI CEMENT LIMITED,"Civil Engineering, Safety Management",Delhi,BBA,"6,850.00",hybrid,3 months
Civil Engineer,TRIDENT LIMITED,"Civil Engineering, Project Management",Hyderabad,PhD,"9,453.00",online,11 months
Machine Learning Engineer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Python, Machine Learning",Lucknow,B.Tech,"4,815.00",online,11 months
Financial Analyst,ICICI BANK LIMITED,"Auditing, Financial Analysis",Kolkata,M.Sc,"3,477.00",online,12 months
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Marketing, Supply Chain, Brand Management, Distribution",Mumbai,BA,"3,850.00",in-person,3 months
Structural Engineer,FINOLEX INDUSTRIES LIMITED,"Construction Management, Estimation",Ahmedabad,MBA,"7,327.00",online,9 months
Sales Executive,DABUR INDIA LIMITED,"Distribution, Consumer Insights, Product Development",Remote,B.Tech,"9,154.00",in-person,10 months
Civil Engineer,JCB INDIA LIMITED,"Project Management, Construction Management, Structural Design",Remote,B.Com,"7,716.00",online,11 months
Civil Engineer,GHCL LIMITED,"Quality Control, Safety Management, Construction Management, Project Management",Bangalore,BBA,"9,442.00",hybrid,8 months
IT Support,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Machine Learning, Cloud Computing, Data Analysis, Python",Mumbai,B.Tech,"4,435.00",in-person,12 months
IT Support,KITEX CHILDRENSWEAR LIMITED,"React, DevOps, Java, JavaScript",Hyderabad,BA,"5,450.00",hybrid,11 months
Cloud Architect,CYIENT LIMITED,"Data Analysis, DevOps, JavaScript, React",Chennai,Diploma,"1,572.00",online,3 months
Web Developer,INFOSYS LIMITED,"Java, Data Analysis, React",Delhi,BCA,"4,470.00",online,6 months
Retail Manager,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Product Development, Consumer Insights, Supply Chain",Jaipur,BCA,"6,357.00",hybrid,5 months
Web Developer,BHARAT FORGE LTD,"Cybersecurity, Python, React",Mumbai,BCA,"5,084.00",in-person,8 months
Supply Chain Analyst,EMCURE PHARMACEUTICALS LIMITED,"Retail Management, Marketing, Product Development",Pune,B.Sc,"3,447.00",hybrid,4 months
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, Java",Mumbai,PhD,"6,909.00",in-person,4 months
Mineral Processing Engineer,UTKAL ALUMINA INTERNATIONAL LIMITED.,"Safety Management, Mineral Processing",Remote,Diploma,"2,179.00",in-person,3 months
Drilling Engineer,HINDUSTAN PETROLEUM CORPORATION LIMITED,"Pipeline Maintenance, Geology, Petroleum Engineering",Mumbai,B.Com,"5,763.00",hybrid,12 months
Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA,"9,867.00",online,4 months
Marketing Executive,DR.REDDY S LABORATORIES LTD,"Supply Chain, Marketing",Jaipur,PhD,"4,794.00",hybrid,8 months
Site Engineer,KEC INTERNATIONAL LIMITED,"Safety Management, Surveying, Structural Design, Project Management",Kolkata,MBA,"7,392.00",online,10 months
QA Engineer,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"Python, Cybersecurity, React, JavaScript",Lucknow,B.Sc,"6,266.00",hybrid,11 months
Cloud Architect,M.P. AGROTONICS LIMITED,"Python, React",Delhi,B.Com,"5,448.00",online,10 months
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA,"1,771.00",hybrid,10 months
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA,"6,914.00",in-person,3 months
Cloud Architect,BAJAJ AUTO LIMITED.,"Cybersecurity, JavaScript, SQL, Cloud Computing",Hyderabad,BBA,"6,312.00",hybrid,8 months
Brand Manager,AVENUE SUPERMARTS LIMITED,"Brand Management, Consumer Insights, Product Development, Marketing",Delhi,BA,"8,981.00",hybrid,9 months
Relationship Manager,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Accounting",Pune,MBA,"5,283.00",in-person,2 months
Risk Analyst,AXIS BANK LIMITED,"Financial Analysis, Investment Banking, Taxation",Delhi,B.Com,"2,242.00",online,7 months
Cloud Architect,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"DevOps, Python, React",Pune,BCA,"8,547.00",hybrid,5 months
DevOps Engineer,DELOITTE CONSULTING INDIA PRIVATE LIMITED,"Java, Python, JavaScript, Machine Learning",Mumbai,B.Com,"2,640.00",in-person,10 months
DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc,"8,368.00",in-person,6 months
Machine Learning Engineer,VARSITY EDUCATION MANAGEMENT PRIVATE LIMITED,"Data Analysis, Python, React, DevOps",Chennai,MBA,"9,722.00",online,5 months
Site Engineer,NHDC LIMITED,"Quality Control, Estimation, Structural Design",Kolkata,MBA,"5,665.00",online,7 months
Machine Learning Engineer,ORACLE INDIA PRIVATE LIMITED,"Machine Learning, React, Data Analysis, Python",Mumbai,MBA,"7,825.00",in-person,10 months
Software Developer,MACROTECH DEVELOPERS LIMITED,"Java, Python",Jaipur,BCA,"7,593.00",hybrid,8 months
Safety Officer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Mining Engineering, Safety Management, Environmental Compliance, Geology",Mumbai,BBA,"9,946.00",online,9 months
Cloud Architect,KAJARIA CERAMICS LIMITED,"React, Java, JavaScript, DevOps",Ahmedabad,BBA,"3,652.00",hybrid,12 months
Software Developer,MUTHOOT FINANCE LIMITED,"Data Analysis, Cybersecurity, Java, Python",Ahmedabad,M.Sc,"1,612.00",in-person,4 months
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Geology, Safety Management, Mining Engineering, Ore Processing",Kolkata,B.Sc,"6,109.00",hybrid,5 months
DevOps Engineer,DLF LIMITED,"Python, SQL, Cybersecurity",Kolkata,BA,"9,783.00",in-person,11 months
Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA,"4,649.00",in-person,5 months
Web Developer,DEUTSCHE INDIA PRIVATE LIMITED,"React, Java, Cybersecurity",Pune,BA,"5,351.00",hybrid,8 months
Civil Engineer,GHCL LIMITED,"Project Management, Civil Engineering, Structural Design, Surveying",Chennai,BCA,"1,825.00",in-person,10 months
Data Analyst,SOBHA LIMITED,"Java, Data Analysis, Python, React",Hyderabad,Diploma,"4,517.00",online,9 months
Risk Analyst,THE NEW INDIA ASSURANCE COMPANY LIMITED,"Investment Banking, Loan Processing",Pune,BCA,"8,946.00",in-person,5 months
Machine Learning Engineer,FINOLEX CABLES LIMITED,"SQL, DevOps",Mumbai,B.Com,"5,365.00",hybrid,4 months
Retail Manager,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Product Development, Consumer Insights, Supply Chain",Jaipur,BCA,"3,223.00",online,4 months
Project Engineer,GAWAR CONSTRUCTION LIMITED.,"Project Management, Construction Management, Safety Management, Structural Design",Chennai,B.Sc,"1,631.00",in-person,12 months
Customer Support Engineer,TATA COMMUNICATIONS LIMITED,"Wireless Communication, RF Engineering",Chennai,B.Com,"2,098.00",in-person,2 months
IT Support,VMWARE SOFTWARE INDIA PRIVATE LIMITED,"React, Machine Learning",Mumbai,Diploma,"3,296.00",online,11 months
Exploration Geologist,STEEL AUTHORITY OF INDIA LIMITED,"Exploration, Environmental Compliance, Mineral Processing",Hyderabad,Diploma,"4,777.00",in-person,5 months
Credit Analyst,CITY UNION BANK LIMITED,"Financial Modeling, Accounting, Taxation, Financial Analysis",Ahmedabad,BA,"4,198.00",hybrid,11 months
Consumer Insights Analyst,MANKIND PHARMA LIMITED,"Consumer Insights, Marketing",Kolkata,BCA,"3,671.00",online,6 months
Web Developer,SIEMENS LIMITED,"React, SQL",Kolkata,BCA,"9,062.00",hybrid,9 months
Cloud Architect,PRESTIGE ESTATES PROJECTS LIMITED,"Java, DevOps, Machine Learning, JavaScript",Ahmedabad,BBA,"7,014.00",hybrid,12 months
Treasury Analyst,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Financial Analysis, Auditing, Taxation, Wealth Management",Bangalore,BA,"4,904.00",hybrid,7 months
Cloud Architect,ASIAN PAINTS LIMITED,"Machine Learning, Python, JavaScript",Hyderabad,B.Sc,"7,604.00",in-person,8 months
Web Developer,LTIMINDTREE LIMITED,"JavaScript, SQL, Cloud Computing, Java",Chennai,BA,"1,939.00",online,11 months
Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA,"4,690.00",hybrid,11 months
DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"JavaScript, Cloud Computing",Kolkata,Diploma,"7,705.00",in-person,11 months
Environmental Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Geology, Safety Management",Kolkata,MBA,"9,704.00",online,6 months
Web Developer,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,"Cloud Computing, JavaScript",Ahmedabad,MBA,"4,281.00",hybrid,10 months
Site Engineer,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Project Management, Estimation, Surveying",Mumbai,B.Tech,"2,600.00",online,7 months
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech,"9,088.00",hybrid,4 months
Retail Manager,MANKIND PHARMA LIMITED,"Brand Management, Consumer Insights, Distribution",Jaipur,BBA,"3,263.00",online,3 months
Surveyor,GAWAR CONSTRUCTION LIMITED.,"Civil Engineering, Construction Management, Surveying, Structural Design",Bangalore,Diploma,"4,348.00",hybrid,11 months
Data Analyst,WNS GLOBAL SERVICES PRIVATE LIMITED,"Python, React, Java",Hyderabad,B.Com,"8,002.00",hybrid,2 months
Safety Officer,BHUSHAN POWER & STEEL LIMITED,"Ore Processing, Exploration, Surveying, Environmental Compliance",Remote,B.Com,"6,981.00",online,4 months
Machine Learning Engineer,MARUTI SUZUKI INDIA LIMITED,"JavaScript, Machine Learning, Java, Python",Remote,B.Tech,"2,303.00",hybrid,2 months
Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA,"8,768.00",online,3 months
QA Engineer,ASHOK LEYLAND LIMITED,"Java, Machine Learning, Data Analysis",Lucknow,BBA,"8,173.00",online,6 months
Electrical Engineer,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Jaipur,PhD,"3,270.00",hybrid,9 months
QA Engineer,BAGMANE DEVELOPERS PRIVATE LIMITED,"Cybersecurity, Machine Learning, Cloud Computing, Java",Bangalore,PhD,"7,437.00",hybrid,3 months
IT Support,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Java, Cloud Computing, Python",Delhi,B.Tech,"3,627.00",hybrid,9 months
Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA,"9,594.00",online,9 months
Safety Officer,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,"Structural Design, Surveying",Lucknow,PhD,"8,449.00",in-person,9 months
Software Developer,SUNDRAM FASTENERS LIMITED,"Machine Learning, JavaScript",Kolkata,M.Sc,"7,863.00",in-person,6 months
Sales Executive,DHARAMPAL SATYAPAL LIMITED,"Sales, Brand Management, Marketing",Lucknow,B.Com,"2,677.00",in-person,11 months
Site Engineer,WONDER CEMENT LIMITED,"Civil Engineering, Structural Design",Ahmedabad,B.Sc,"2,744.00",online,4 months
Mining Engineer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Exploration, Mineral Processing",Jaipur,BCA,"5,893.00",hybrid,5 months
Cloud Architect,L&T TECHNOLOGY SERVICES LIMITED,"Java, JavaScript, Python, Machine Learning",Pune,MBA,"2,487.00",hybrid,11 months
DevOps Engineer,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Cloud Computing, Java, Data Analysis",Bangalore,PhD,"4,173.00",in-person,10 months
Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech,"5,544.00",in-person,6 months
Machine Learning Engineer,CAN FIN HOMES LIMITED,"Cloud Computing, DevOps, Data Analysis",Jaipur,MBA,"3,255.00",hybrid,10 months
Surveyor,COROMANDEL INTERNATIONAL LIMITED,"Civil Engineering, Construction Management, Safety Management, Project Management",Ahmedabad,M.Sc,"6,158.00",hybrid,11 months
Structural Engineer,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Estimation, Construction Management",Mumbai,Diploma,"9,332.00",hybrid,8 months
Machine Learning Engineer,TATA CONSULTANCY SERVICES LIMITED,"Java, DevOps, SQL, Cybersecurity",Kolkata,B.Sc,"6,896.00",hybrid,11 months
Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA,"9,496.00",online,5 months
Supply Chain Analyst,HINDUSTAN COCA-COLA BEVERAGES PRIVATE LIMITED,"Sales, Brand Management, Distribution, Product Development",Bangalore,B.Sc,"7,038.00",online,3 months
Construction Manager,ATUL LIMITED,"Safety Management, Civil Engineering, Quality Control",Jaipur,B.Sc,"8,921.00",hybrid,6 months
Exploration Geologist,STEEL AUTHORITY OF INDIA LIMITED,"Ore Processing, Mineral Processing, Surveying, Environmental Compliance",Mumbai,M.Sc,"5,876.00",online,12 months
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA,"5,523.00",hybrid,8 months
QA Engineer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"React, Cybersecurity, Data Analysis, JavaScript",Chennai,B.Tech,"2,595.00",in-person,5 months
Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA,"5,966.00",hybrid,4 months
Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc,"2,030.00",hybrid,8 months
IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD,"1,973.00",online,11 months
Sales Executive,COCA COLA INDIA PRIVATE LIMITED,"Retail Management, Distribution",Delhi,MBA,"3,720.00",in-person,6 months
Product Manager,UNITED BREWERIES LIMITED,"Brand Management, Supply Chain",Pune,M.Sc,"6,592.00",online,8 months
DevOps Engineer,WELLS FARGO INTERNATIONAL SOLUTIONS PRIVATE LIMITED,"React, Python",Pune,B.Sc,"4,809.00",online,4 months
Civil Engineer,CHAMBAL FERTILISERS AND CHEMICALS LIMITED,"Structural Design, Estimation, Surveying, Civil Engineering",Lucknow,B.Tech,"5,604.00",online,12 months
Thermal Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Transmission, Grid Management, Renewable Energy, Electrical Engineering",Pune,Diploma,"6,966.00",online,2 months
Risk Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Taxation",Pune,B.Tech,"4,478.00",in-person,6 months
Machine Learning Engineer,WNS GLOBAL SERVICES PRIVATE LIMITED,"DevOps, Cloud Computing",Chennai,BA,"2,619.00",in-person,10 months
Data Analyst,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Cloud Computing, React",Ahmedabad,M.Sc,"4,820.00",hybrid,8 months
Civil Engineer,GUJARAT FLUOROCHEMICALS LIMITED,"Estimation, Construction Management, Safety Management",Ahmedabad,BBA,"2,921.00",hybrid,10 months
Cloud Architect,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, Java, React, Data Analysis",Delhi,M.Sc,"9,950.00",online,10 months
Software Developer,CYIENT LIMITED,"Cybersecurity, SQL, Data Analysis, Python",Lucknow,PhD,"2,005.00",hybrid,10 months
Consumer Insights Analyst,PIRAMAL ENTERPRISES LIMITED,"Sales, Supply Chain, Brand Management, Marketing",Hyderabad,BCA,"8,324.00",hybrid,10 months
Surveyor,THE SUPREME INDUSTRIES LIMITED,"Quality Control, Surveying, Construction Management, Safety Management",Hyderabad,B.Sc,"3,694.00",hybrid,8 months
QA Engineer,SUNDARAM FINANCE LIMITED,"Python, SQL, Java, Machine Learning",Mumbai,MBA,"4,683.00",hybrid,12 months
Distribution Executive,DHARAMPAL SATYAPAL LIMITED,"Product Development, Sales, Marketing, Retail Management",Delhi,B.Sc,"9,456.00",in-person,4 months
Maintenance Engineer,WINSOL SOLAR FIELDS (POLEPALLY) PRIVATE LIMITED,"Maintenance, Energy Efficiency, Power Plant Operations",Mumbai,BBA,"9,384.00",online,6 months
Risk Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Taxation",Pune,MBA,"4,538.00",in-person,2 months
