candidate_skills,candidate_location,candidate_education,internship_title,internship_company,required_skills,internship_location,required_education
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Sales Executive,GRANULES INDIA LIMITED,"Supply Chain, Distribution, Brand Management, Product Development",Jaipur,BBA
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Electronics Design, Testing",Delhi,PhD
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Consumer Insights Analyst,ALKEM LABORATORIES LIMITED,"Consumer Insights, Distribution, Brand Management, Retail Management",Pune,Diploma
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Ore Processing Technician,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Mining Engineering, Safety Management",Bangalore,B.Com
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Mining Engineer,MOIL LIMITED,"Exploration, Mining Engineering",Mumbai,PhD
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,IT Support,ENDURANCE TECHNOLOGIES LIMITED,"Java, SQL, Python, JavaScript",Kolkata,MBA
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Exploration Geologist,JINDAL STEEL & POWER LIMITED,"Exploration, Environmental Compliance, Geology, Surveying",Pune,BBA
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Software Developer,MACROTECH DEVELOPERS LIMITED,"Java, Python",Jaipur,BCA
"Investment, Wealth Management, Loan Processing",Mumbai,PhD,Electrical Engineer,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Jaipur,PhD
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,DevOps Engineer,LTIMINDTREE LIMITED,"React, Java",Remote,Diploma
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Product Manager,PIRAMAL PHARMA LIMITED,"Sales, Retail Management, Distribution, Product Development",Pune,B.Sc
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Web Developer,INTERNATIONAL TRACTORS LIMITED,"DevOps, React, SQL, Data Analysis",Chennai,BA
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Site Engineer,DALMIA CEMENT (BHARAT) LIMITED,"Surveying, Construction Management, Estimation",Jaipur,Diploma
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,QA Engineer,EICHER MOTORS LIMITED,"Python, JavaScript",Bangalore,BBA
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Data Analyst,MICROSOFT INDIA (R&D) PRIVATE LIMITED,"SQL, DevOps",Pune,MBA
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Web Developer,COCHIN SHIPYARD LIMITED,"JavaScript, Java, Cloud Computing",Bangalore,Diploma
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Site Engineer,LARSEN AND TOUBRO LIMITED,"Civil Engineering, Surveying, Estimation, Safety Management",Bangalore,B.Com
"JavaScript, Cybersecurity, Quality Control, Production, Textile Engineering, Fashion Design, Maintenance, Research, Energy Storage",Kolkata,BA,Project Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Structural Design, Project Management",Jaipur,BA
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Retail Manager,ITC LIMITED,"Marketing, Sales, Brand Management",Bangalore,MBA
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Retail Manager,EMAMI LIMITED,"Brand Management, Marketing",Bangalore,MBA
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Surveyor,ASHOKA BUILDCON LIMITED,"Safety Management, Surveying",Mumbai,B.Com
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Retail Manager,DIVI S LABORATORIES LIMITED,"Brand Management, Product Development, Supply Chain, Marketing",Pune,BA
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,IT Support,EBIXCASH LIMITED,"Data Analysis, DevOps, JavaScript",Pune,PhD
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Power Plant Operator,INDIAN ENERGY EXCHANGE LIMITED,"Electrical Engineering, Renewable Energy",Jaipur,BCA
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Ore Processing Technician,ORISSA METALIKS PRIVATE LIMITED,"Ore Processing, Geology",Hyderabad,B.Com
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Product Manager,UNITED BREWERIES LIMITED,"Brand Management, Supply Chain",Pune,M.Sc
"Research, Quality Control, Embedded Systems, Electronics Design",Bangalore,B.Sc,Process Engineer,OIL AND NATURAL GAS CORPORATION LIMITED,"Field Operations, Safety Compliance, Reservoir Engineering, Petroleum Engineering",Jaipur,PhD
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Data Analyst,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Cloud Computing, React",Ahmedabad,M.Sc
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Software Developer,MAZAGON DOCK SHIPBUILDERS LIMITED,"Data Analysis, SQL",Mumbai,BCA
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,DevOps Engineer,AMARA RAJA ENERGY & MOBILITY LIMITED,"React, Python, Cybersecurity, Java",Ahmedabad,PhD
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Web Developer,PERSISTENT SYSTEMS LIMITED,"Data Analysis, JavaScript, React",Hyderabad,B.Com
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Structural Engineer,K.P.R. MILL LIMITED,"Construction Management, Estimation",Hyderabad,BA
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Thermal Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Transmission, Electrical Engineering",Mumbai,Diploma
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,IT Support,THE CLEARING CORPORATION OF INDIA LIMITED,"Java, Data Analysis",Delhi,B.Sc
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Structural Engineer,SRF LIMITED,"Construction Management, Structural Design, Civil Engineering",Pune,BA
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Investment Banker,SBI GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Financial Analysis",Pune,MBA
"Testing, Manufacturing, Research, Corporate Finance, Marketing, Operations Management, Innovation, Brand Management",Ahmedabad,MBA,Design Engineer,THDC INDIA LIMITED,"Power Plant Operations, Thermal Power, Renewable Energy",Delhi,MBA
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Data Analyst,NOKIA SOLUTIONS AND NETWORKS INDIA PRIVATE LIMITED,"RF Engineering, Optical Fiber",Hyderabad,MBA
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Product Manager,IPCA LABORATORIES LIMITED,"Sales, Supply Chain, Retail Management, Brand Management",Ahmedabad,B.Com
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Exploration Geologist,AIA ENGINEERING LIMITED,"Surveying, Exploration",Hyderabad,BCA
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Web Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Cybersecurity, DevOps, Machine Learning, Data Analysis",Lucknow,BCA
"Textile Engineering, Supply Chain, Fabric Design, Fashion Design, Tire Manufacturing, Quality Control, Marketing, Testing",Bangalore,BA,Project Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Structural Design, Project Management",Jaipur,BA
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Treasury Analyst,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"Investment Banking, Taxation, Accounting, Loan Processing",Delhi,Diploma
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Data Analyst,INFO EDGE (INDIA) LIMITED,"Data Analysis, DevOps, Cybersecurity",Chennai,Diploma
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Cloud Architect,M.P. AGROTONICS LIMITED,"Python, React",Delhi,B.Com
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Ore Processing Technician,IREL (INDIA) LIMITED,"Geology, Environmental Compliance, Ore Processing, Mineral Processing",Ahmedabad,MBA
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Structural Engineer,SRF LIMITED,"Construction Management, Structural Design, Civil Engineering",Pune,BA
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Treasury Analyst,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Financial Analysis, Auditing, Taxation, Wealth Management",Bangalore,BA
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Construction Manager,RASHMI CEMENT LIMITED,"Civil Engineering, Project Management, Safety Management",Pune,B.Com
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Field Engineer,NUMALIGARH REFINERY LTD,"Reservoir Engineering, Field Operations",Ahmedabad,PhD
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA
"Product Design, Consumer Insights, Brand Management, Valuation, Construction Management, Investment Analysis",Hyderabad,B.Tech,Machine Learning Engineer,STAR INDIA PRIVATE LIMITED,"Cybersecurity, React",Mumbai,BA
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,IT Support,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Java, Cloud Computing, Python",Delhi,B.Tech
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,Site Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Quality Control, Safety Management, Structural Design, Project Management",Hyderabad,PhD
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,IT Support,REDINGTON LIMITED,"DevOps, JavaScript",Delhi,MBA
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,Network Engineer,INDUS TOWERS LIMITED,"Optical Fiber, Wireless Communication",Lucknow,MBA
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,Accountant,BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,"Risk Management, Investment Banking, Taxation",Lucknow,Diploma
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,Project Engineer,IL&FS TAMIL NADU POWER COMPANY LIMITED,"Power Plant Operations, Energy Efficiency, Grid Management, Renewable Energy",Jaipur,B.Tech
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,Project Engineer,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Construction Management, Quality Control, Surveying, Safety Management",Kolkata,Diploma
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,Treasury Analyst,THE KARNATAKA BANK LIMITED,"Financial Analysis, Loan Processing, Auditing, Financial Modeling",Bangalore,B.Com
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,Cloud Architect,FINOLEX CABLES LIMITED,"Python, DevOps, SQL, Machine Learning",Lucknow,BBA
"Field Operations, Refining, Petroleum Engineering, Pipeline Maintenance, Fashion Design, Fabric Design, Supply Chain, Dyeing",Lucknow,PhD,DevOps Engineer,ENDURANCE TECHNOLOGIES LIMITED,"Python, Cloud Computing, SQL, Data Analysis",Hyderabad,PhD
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Quality Inspector,TAMILNADU POWER FINANCE AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,"Safety Management, Civil Engineering",Mumbai,BBA
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Electrical Engineering, Renewable Energy",Kolkata,BCA
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Site Engineer,BHILOSA INDUSTRIES PRIVATE LIMITED,"Project Management, Quality Control, Civil Engineering, Safety Management",Chennai,B.Sc
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Web Developer,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Python, SQL, React",Chennai,B.Sc
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Surveyor,TUBE INVESTMENTS OF INDIA LIMITED,"Safety Management, Exploration, Ore Processing, Mineral Processing",Bangalore,BCA
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Environmental Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Geology, Safety Management",Kolkata,MBA
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Machine Learning Engineer,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, SQL",Bangalore,BCA
"Accounting, Trading, Investment, Valuation, Property Management, Leasing, Marketing, Structural Engineering, Safety Management, Quality Control",Hyderabad,BCA,Product Manager,SUVEN PHARMACEUTICALS LIMITED,"Consumer Insights, Retail Management, Supply Chain",Remote,B.Sc
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Software Developer,REC LIMITED,"Machine Learning, Cloud Computing, Python",Mumbai,Diploma
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Credit Analyst,THE NEW INDIA ASSURANCE COMPANY LIMITED,"Financial Modeling, Wealth Management, Risk Management, Investment Banking",Jaipur,M.Sc
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Sales Executive,TATA CONSUMER PRODUCTS LIMITED,"Brand Management, Marketing, Retail Management, Supply Chain",Hyderabad,PhD
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Civil Engineering",Kolkata,B.Com
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Software Developer,BA CONTINUUM INDIA PRIVATE LIMITED,"Cybersecurity, SQL",Jaipur,BA
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,Brand Manager,MAHASHIAN DI HATTI PRIVATE LIMITED,"Marketing, Product Development",Kolkata,PhD
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,IT Support,HERO MOTOCORP LIMITED,"JavaScript, Data Analysis",Remote,MBA
"Administrative Skills, Diagnosis, Medical Knowledge, Maintenance, Avionics, Defense Systems, Quality Control, Hygiene Standards, Menu Planning, Customer Service",Ahmedabad,PhD,IT Support,EICHER MOTORS LIMITED,"Python, Data Analysis",Chennai,BBA
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,QA Engineer,CUMMINS TECHNOLOGIES INDIA PRIVATE LIMITED,"Cloud Computing, JavaScript, Data Analysis",Remote,PhD
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,QA Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"DevOps, SQL",Delhi,B.Tech
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"JavaScript, Cloud Computing",Kolkata,Diploma
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,IT Support,ZOHO CORPORATION PRIVATE LIMITED,"DevOps, Cybersecurity",Bangalore,MBA
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,Safety Officer,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Surveying, Exploration, Ore Processing",Hyderabad,B.Tech
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,Freight Coordinator,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Distribution, Inventory Management, Warehouse Operations",Hyderabad,M.Sc
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,Treasury Analyst,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Financial Analysis, Auditing, Taxation, Wealth Management",Bangalore,BA
"Safety Compliance, Refining, Research, Testing, Manufacturing, Materials Science, Maintenance, Safety Management, Project Management",Mumbai,MBA,Web Developer,PERSISTENT SYSTEMS LIMITED,"Cloud Computing, React, Java, Cybersecurity",Remote,BCA
"Digital Marketing, Broadcasting",Lucknow,PhD,Web Developer,GRASIM INDUSTRIES LTD,"Python, Data Analysis, Java",Delhi,BBA
"Digital Marketing, Broadcasting",Lucknow,PhD,Product Manager,ZYDUS LIFESCIENCES LIMITED,"Sales, Marketing",Pune,B.Sc
"Digital Marketing, Broadcasting",Lucknow,PhD,IT Support,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Machine Learning, DevOps",Pune,B.Sc
"Digital Marketing, Broadcasting",Lucknow,PhD,Marketing Executive,DR.REDDY S LABORATORIES LTD,"Supply Chain, Marketing",Jaipur,PhD
"Digital Marketing, Broadcasting",Lucknow,PhD,Testing Engineer,HINDUSTAN AERONAUTICS LIMITED,"Testing, Circuit Design, PCB Design",Kolkata,BCA
"Digital Marketing, Broadcasting",Lucknow,PhD,Transportation Specialist,ADANI HARBOUR SERVICES LIMITED,"Supply Chain Management, Warehouse Operations, Transportation",Mumbai,M.Sc
"Digital Marketing, Broadcasting",Lucknow,PhD,QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma
"Digital Marketing, Broadcasting",Lucknow,PhD,Geologist,JSW STEEL COATED PRODUCTS LIMITED,"Surveying, Mineral Processing, Ore Processing",Pune,BA
"Digital Marketing, Broadcasting",Lucknow,PhD,Power Plant Operator,NTPC LIMITED,"Electrical Engineering, Grid Management, Transmission",Lucknow,PhD
"Digital Marketing, Broadcasting",Lucknow,PhD,Machine Learning Engineer,VOLTAS LIMITED,"Cybersecurity, React",Jaipur,PhD
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Safety Officer,MAHANAGAR GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance, Refining",Mumbai,BA
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Software Developer,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX),"Cloud Computing, Machine Learning, Cybersecurity, Java",Jaipur,M.Sc
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Product Manager,GILLETTE INDIA LIMITED,"Supply Chain, Consumer Insights",Remote,BBA
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Supply Chain Analyst,RITES LIMITED,"Inventory Management, Logistics Planning, Distribution",Pune,BCA
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Cloud Architect,EIT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, DevOps, Cybersecurity",Ahmedabad,B.Tech
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Reservoir Engineer,INOX AIR PRODUCTS PRIVATE LIMITED,"Safety Compliance, Field Operations",Bangalore,PhD
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Ore Processing Technician,MAHANADI COALFIELDS LIMITED,"Exploration, Mineral Processing, Geology",Chennai,Diploma
"Production, Quality Control, Chemical Engineering, Environmental Compliance",Kolkata,Diploma,Data Analyst,BALRAMPUR CHINI MILLS LTD,"SQL, Cloud Computing",Remote,BBA
"Naval Architecture, Welding, Safety Management, Maintenance, Compliance, Financial Analysis, Risk Management",Mumbai,BBA,IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD
"Naval Architecture, Welding, Safety Management, Maintenance, Compliance, Financial Analysis, Risk Management",Mumbai,BBA,IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc
"Naval Architecture, Welding, Safety Management, Maintenance, Compliance, Financial Analysis, Risk Management",Mumbai,BBA,Retail Manager,MANKIND PHARMA LIMITED,"Brand Management, Consumer Insights, Distribution",Jaipur,BBA
"Naval Architecture, Welding, Safety Management, Maintenance, Compliance, Financial Analysis, Risk Management",Mumbai,BBA,Software Developer,SUNDRAM FASTENERS LIMITED,"Machine Learning, JavaScript",Kolkata,M.Sc
"Naval Architecture, Welding, Safety Management, Maintenance, Compliance, Financial Analysis, Risk Management",Mumbai,BBA,Sales Executive,GRANULES INDIA LIMITED,"Supply Chain, Distribution, Brand Management, Product Development",Jaipur,BBA
