internship_title,internship_company,required_skills,internship_location,required_education
Construction Manager,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Quality Control, Safety Management",Chennai,MBA
Consumer Insights Analyst,SERUM INSTITUTE LIFE SCIENCES PRIVATE LIMITED,"Consumer Insights, Distribution, Product Development, Marketing",Pune,B.Sc
Civil Engineer,ASHOKA BUILDCON LIMITED,"Quality Control, Safety Management",Mumbai,B.Sc
Site Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Civil Engineering, Construction Management, Estimation",Ahmedabad,BA
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
Project Engineer,JSW ENERGY (BARMER) LIMITED,"Transmission, Maintenance, Grid Management",Lucknow,MBA
QA Engineer,POWER FINANCE CORPORATION LIMITED,"Cloud Computing, Cybersecurity, Machine Learning",Mumbai,BBA
Site Engineer,DEEPAK NITRITE LIMITED,"Project Management, Civil Engineering, Safety Management",Lucknow,Diploma
Software Developer,ADANI ENTERPRISES LIMITED,"Cybersecurity, Data Analysis, React, Machine Learning",Lucknow,B.Tech
Mining Engineer,THE SINGARENI COLLIERIES COMPANY LIMITED,"Surveying, Geology",Jaipur,BA
Sales Executive,ITC LIMITED,"Product Development, Retail Management",Mumbai,BCA
Sales Executive,AVENUE SUPERMARTS LIMITED,"Distribution, Sales",Jaipur,Diploma
Surveyor,JSW STEEL COATED PRODUCTS LIMITED,"Exploration, Surveying",Jaipur,B.Tech
Cloud Architect,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"React, Java, Python, Cloud Computing",Mumbai,B.Com
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA
Software Developer,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, Machine Learning, Cloud Computing",Mumbai,BA
Electrical Engineer,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Jaipur,PhD
Inventory Analyst,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Transportation, Supply Chain Management, Procurement, Inventory Management",Bangalore,B.Sc
Mining Engineer,HINDALCO INDUSTRIES LIMITED,"Exploration, Surveying",Chennai,B.Tech
Product Manager,RSPL LIMITED,"Sales, Consumer Insights, Marketing",Pune,BA
Financial Analyst,ICICI BANK LIMITED,"Auditing, Financial Analysis",Kolkata,M.Sc
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma
Web Developer,KOTAK MAHINDRA PRIME LIMITED,"Python, Machine Learning, Cloud Computing",Delhi,BCA
IT Support,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Machine Learning, DevOps",Pune,B.Sc
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA
Risk Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Investment Banking, Wealth Management, Auditing, Financial Analysis",Lucknow,BCA
Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA
Reservoir Engineer,INOX AIR PRODUCTS PRIVATE LIMITED,"Safety Compliance, Field Operations",Bangalore,PhD
Electrical Engineer,JSW ENERGY LIMITED,"Transmission, Energy Efficiency, Maintenance, Power Plant Operations",Delhi,MBA
Cloud Architect,KARNAVATI AVIATION PRIVATE LIMITED,"Machine Learning, Cybersecurity, React",Mumbai,PhD
Consumer Insights Analyst,TITAN COMPANY LIMITED,"Supply Chain, Marketing, Sales, Brand Management",Remote,M.Sc
Data Analyst,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"Data Analysis, Cloud Computing, Machine Learning, React",Chennai,PhD
Structural Engineer,FINOLEX INDUSTRIES LIMITED,"Construction Management, Estimation",Ahmedabad,MBA
Data Analyst,IBM INDIA PRIVATE LIMITED,"Data Analysis, DevOps, Machine Learning, Java",Pune,BCA
Software Developer,MUTHOOT FINANCE LIMITED,"Data Analysis, Cybersecurity, Java, Python",Ahmedabad,M.Sc
Web Developer,SIEMENS LIMITED,"React, SQL",Kolkata,BCA
Cloud Architect,CYIENT LIMITED,"Data Analysis, DevOps, JavaScript, React",Chennai,Diploma
Software Developer,TRANSUNION CIBIL LIMITED,"Python, Data Analysis, Cloud Computing",Ahmedabad,M.Sc
IT Support,SAMMAAN CAPITAL LIMITED,"React, JavaScript",Delhi,BCA
Distribution Executive,PI INDUSTRIES LIMITED,"Marketing, Brand Management, Sales",Jaipur,MBA
Cloud Architect,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Java, React, JavaScript, Cloud Computing",Jaipur,BA
Cloud Architect,RELIANCE CORPORATE IT PARK LIMITED,"Data Analysis, DevOps",Remote,M.Sc
Software Developer,MAZAGON DOCK SHIPBUILDERS LIMITED,"Data Analysis, SQL",Mumbai,BCA
Software Developer,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"Cybersecurity, JavaScript, Machine Learning",Lucknow,B.Com
Web Developer,HDFC SECURITIES LIMITED,"React, Java, Cloud Computing, JavaScript",Lucknow,BA
Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech
Maintenance Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Electrical Engineering, Transmission, Grid Management, Maintenance",Remote,MBA
Surveyor,ASHOKA BUILDCON LIMITED,"Safety Management, Surveying",Mumbai,B.Com
Consumer Insights Analyst,DABUR INDIA LIMITED,"Product Development, Marketing, Brand Management",Delhi,MBA
DevOps Engineer,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Cybersecurity, React, Python",Bangalore,BBA
Environmental Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Geology, Safety Management",Kolkata,MBA
Web Developer,REC LIMITED,"Python, Machine Learning",Lucknow,M.Sc
IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc
Web Developer,HCL TECHNOLOGIES LIMITED,"Data Analysis, Cloud Computing, Python",Pune,B.Com
Supply Chain Analyst,CIPLA LIMITED,"Brand Management, Distribution, Product Development",Remote,M.Sc
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
Software Developer,MAZAGON DOCK SHIPBUILDERS LIMITED,"Data Analysis, SQL",Mumbai,BCA
Web Developer,DXC TECHNOLOGY INDIA PRIVATE LIMITED,"Python, Cybersecurity, Java, DevOps",Jaipur,Diploma
Maintenance Engineer,WINSOL SOLAR FIELDS (POLEPALLY) PRIVATE LIMITED,"Maintenance, Energy Efficiency, Power Plant Operations",Mumbai,BBA
Design Engineer,TRANSMISSION CORPORATION OF TELANGANA LIMITED,"Renewable Energy, Grid Management",Hyderabad,Diploma
Cloud Architect,M.P. AGROTONICS LIMITED,"Python, React",Delhi,B.Com
Safety Officer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Mining Engineering, Safety Management, Environmental Compliance, Geology",Mumbai,BBA
Brand Manager,JUBILANT FOODWORKS LIMITED,"Product Development, Distribution, Sales",Chennai,B.Tech
Cloud Architect,KARNAVATI AVIATION PRIVATE LIMITED,"Machine Learning, Cybersecurity, React",Mumbai,PhD
Civil Engineer,GHCL LIMITED,"Quality Control, Safety Management, Construction Management, Project Management",Bangalore,BBA
Risk Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Taxation",Pune,B.Tech
Network Engineer,BHARTI TELEMEDIA LIMITED,"Wireless Communication, IoT, RF Engineering, Network Engineering",Chennai,B.Tech
DevOps Engineer,NATIONAL PAYMENTS CORPORATION OF INDIA,"JavaScript, DevOps, Data Analysis",Bangalore,PhD
Web Developer,INTERNATIONAL TRACTORS LIMITED,"DevOps, React, SQL, Data Analysis",Chennai,BA
Project Engineer,IRCON INTERNATIONAL LIMITED,"Estimation, Safety Management, Construction Management, Civil Engineering",Lucknow,Diploma
Thermal Engineer,TRANSMISSION CORPORATION OF TELANGANA LIMITED,"Grid Management, Power Plant Operations, Thermal Power, Energy Efficiency",Bangalore,MBA
Cloud Architect,BAJAJ AUTO LIMITED.,"Cybersecurity, JavaScript, SQL, Cloud Computing",Hyderabad,BBA
Exploration Geologist,HINDALCO INDUSTRIES LIMITED,"Safety Management, Exploration, Environmental Compliance, Surveying",Hyderabad,MBA
DevOps Engineer,M.P. AGROTONICS LIMITED,"Cloud Computing, Machine Learning, Python",Mumbai,M.Sc
Web Developer,ATRIA CONVERGENCE TECHNOLOGIES LIMITED,"Cybersecurity, SQL",Delhi,B.Sc
Grid Engineer,JSW ENERGY (BARMER) LIMITED,"Transmission, Thermal Power, Energy Efficiency",Chennai,BCA
Data Analyst,BAJAJ HOUSING FINANCE LIMITED,"DevOps, Python, Java, Data Analysis",Jaipur,B.Tech
Project Engineer,IL&FS TAMIL NADU POWER COMPANY LIMITED,"Power Plant Operations, Energy Efficiency, Grid Management, Renewable Energy",Jaipur,B.Tech
Marketing Executive,RELIANCE RETAIL LIMITED,"Product Development, Brand Management",Kolkata,Diploma
Quality Inspector,ENGINEERS INDIA LIMITED,"Project Management, Surveying, Construction Management",Ahmedabad,B.Sc
Renewable Energy Specialist,NTPC TAMIL NADU ENERGY COMPANY LIMITED,"Grid Management, Electrical Engineering",Mumbai,B.Com
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"Cloud Computing, JavaScript, Python",Jaipur,PhD
DevOps Engineer,BERGER PAINTS INDIA LIMITED,"React, Machine Learning",Jaipur,Diploma
Sales Executive,BAYER CROPSCIENCE LIMITED,"Brand Management, Sales, Product Development, Distribution",Lucknow,B.Sc
Thermal Engineer,TRANSMISSION CORPORATION OF TELANGANA LIMITED,"Grid Management, Power Plant Operations, Thermal Power, Energy Efficiency",Bangalore,MBA
IT Support,HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED,"Machine Learning, React, Python, DevOps",Chennai,BCA
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Civil Engineering",Kolkata,B.Com
Quality Inspector,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Civil Engineering, Construction Management, Structural Design",Ahmedabad,B.Tech
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering",Bangalore,BBA
DevOps Engineer,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Cybersecurity, React, Python",Bangalore,BBA
Hardware Engineer,BHARAT ELECTRONICS LIMITED,"Electronics Design, R&D, Circuit Design, Quality Control",Chennai,Diploma
Relationship Manager,HDFC BANK LIMITED,"Financial Analysis, Risk Management, Investment Banking",Bangalore,BBA
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc
Web Developer,AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,"DevOps, Cybersecurity, Java",Delhi,Diploma
DevOps Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Python, React, Machine Learning",Jaipur,B.Com
Sales Executive,AJANTA PHARMA LIMITED,"Consumer Insights, Sales",Lucknow,M.Sc
Surveyor,THE SUPREME INDUSTRIES LIMITED,"Quality Control, Surveying, Construction Management, Safety Management",Hyderabad,B.Sc
Network Engineer,INDUS TOWERS LIMITED,"Optical Fiber, Wireless Communication",Lucknow,MBA
Data Analyst,BAJAJ HOUSING FINANCE LIMITED,"DevOps, Python, Java, Data Analysis",Jaipur,B.Tech
Mining Engineer,HINDALCO INDUSTRIES LIMITED,"Exploration, Surveying",Chennai,B.Tech
QA Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"React, DevOps, Cybersecurity",Chennai,B.Com
Civil Engineer,JCB INDIA LIMITED,"Project Management, Construction Management, Structural Design",Remote,B.Com
Mineral Processing Engineer,CENTRAL COALFIELDS LIMITED,"Mining Engineering, Geology",Remote,Diploma
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma
R&D Engineer,HP INDIA SALES PRIVATE LIMITED,"Embedded Systems, Manufacturing, Testing",Chennai,BCA
Grid Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Renewable Energy, Grid Management",Delhi,M.Sc
Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
IT Support,LTIMINDTREE LIMITED,"Data Analysis, Cybersecurity",Bangalore,BBA
Warehouse Manager,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Distribution, Inventory Management, Transportation, Logistics Planning",Jaipur,PhD
Surveyor,GAWAR CONSTRUCTION LIMITED.,"Civil Engineering, Construction Management, Surveying, Structural Design",Bangalore,Diploma
DevOps Engineer,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Ahmedabad,BBA
Project Engineer,NHPC LIMITED,"Renewable Energy, Grid Management, Energy Efficiency, Thermal Power",Pune,MBA
IT Support,SOBHA LIMITED,"Cloud Computing, Cybersecurity",Bangalore,B.Com
Ore Processing Technician,VEDANTA LIMITED,"Exploration, Environmental Compliance, Mining Engineering",Delhi,PhD
Consumer Insights Analyst,USV PRIVATE LIMITED,"Supply Chain, Distribution, Product Development",Remote,B.Tech
Sales Executive,DABUR INDIA LIMITED,"Distribution, Consumer Insights, Product Development",Remote,B.Tech
Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com
Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc
Transportation Specialist,ADANI HARBOUR SERVICES LIMITED,"Supply Chain Management, Warehouse Operations, Transportation",Mumbai,M.Sc
Surveyor,DECCAN FINE CHEMICALS (INDIA) PRIVATE LIMITED,"Safety Management, Surveying, Project Management, Construction Management",Bangalore,BCA
Site Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Civil Engineering, Construction Management, Estimation",Ahmedabad,BA
Civil Engineer,ASHOKA BUILDCON LIMITED,"Quality Control, Safety Management",Mumbai,B.Sc
Brand Manager,AVENUE SUPERMARTS LIMITED,"Brand Management, Consumer Insights, Product Development, Marketing",Delhi,BA
Project Engineer,JAMNAGAR UTILITIES & POWER PRIVATE LIMITED,"Maintenance, Power Plant Operations, Transmission",Bangalore,B.Sc
DevOps Engineer,SOCIETE GENERALE SECURITIES INDIA PRIVATE LIMITED,"Java, Python, React",Delhi,MBA
Thermal Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Transmission, Grid Management, Renewable Energy, Electrical Engineering",Pune,Diploma
Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA
RF Engineer,BHARTI TELEMEDIA LIMITED,"5G Technology, Network Engineering, IoT",Jaipur,B.Tech
Distribution Executive,AVENUE SUPERMARTS LIMITED,"Brand Management, Supply Chain, Sales",Ahmedabad,B.Sc
Data Analyst,NATIONAL STOCK EXCHANGE OF INDIA LTD.,"DevOps, Cloud Computing, Java",Pune,MBA
Construction Manager,GHARDA CHEMICALS LIMITED,"Safety Management, Quality Control",Jaipur,BA
Machine Learning Engineer,CORTEVA AGRISCIENCE SEEDS PRIVATE LIMITED,"Java, Cloud Computing, Machine Learning, DevOps",Ahmedabad,PhD
DevOps Engineer,DELOITTE CONSULTING INDIA PRIVATE LIMITED,"Java, Python, JavaScript, Machine Learning",Mumbai,B.Com
Supply Chain Analyst,PATANJALI FOODS LIMITED,"Supply Chain, Product Development, Marketing, Consumer Insights",Bangalore,BCA
QA Engineer,SUNDARAM FINANCE LIMITED,"Python, SQL, Java, Machine Learning",Mumbai,MBA
Mining Engineer,HINDUSTAN ZINC LIMITED,"Mining Engineering, Surveying",Chennai,BBA
IT Support,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,"Cloud Computing, Machine Learning",Kolkata,B.Tech
Machine Learning Engineer,KOTAK MAHINDRA PRIME LIMITED,"Cloud Computing, Machine Learning, Java",Ahmedabad,BBA
Structural Engineer,GHARDA CHEMICALS LIMITED,"Civil Engineering, Safety Management, Project Management, Construction Management",Mumbai,PhD
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Safety Management, Mineral Processing, Environmental Compliance",Ahmedabad,BA
Process Engineer,OIL AND NATURAL GAS CORPORATION LIMITED,"Field Operations, Safety Compliance, Reservoir Engineering, Petroleum Engineering",Jaipur,PhD
Web Developer,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"Cloud Computing, Machine Learning, React, Cybersecurity",Jaipur,B.Sc
Machine Learning Engineer,POWER FINANCE CORPORATION LIMITED,"Machine Learning, Data Analysis",Bangalore,M.Sc
Geologist,URANIUM CORPORATION OF INDIA LIMITED,"Exploration, Geology, Safety Management, Mineral Processing",Chennai,BA
DevOps Engineer,BERGER PAINTS INDIA LIMITED,"React, Machine Learning",Jaipur,Diploma
QA Engineer,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, Java, DevOps",Kolkata,B.Com
IT Support,EBIXCASH LIMITED,"Data Analysis, DevOps, JavaScript",Pune,PhD
Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA
Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc
Structural Engineer,TATA CHEMICALS LIMITED,"Safety Management, Construction Management, Quality Control",Delhi,Diploma
Exploration Geologist,UTKAL ALUMINA INTERNATIONAL LIMITED.,"Environmental Compliance, Ore Processing",Lucknow,MBA
Field Engineer,NUMALIGARH REFINERY LTD,"Reservoir Engineering, Field Operations",Ahmedabad,PhD
Site Engineer,BIRLA CARBON INDIA PRIVATE LIMITED,"Surveying, Estimation",Lucknow,BCA
QA Engineer,BAGMANE DEVELOPERS PRIVATE LIMITED,"Cybersecurity, Machine Learning, Cloud Computing, Java",Bangalore,PhD
Renewable Energy Specialist,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Renewable Energy, Energy Efficiency, Electrical Engineering, Power Plant Operations",Hyderabad,BBA
Distribution Manager,CONTAINER CORPORATION OF INDIA LIMITED,"Logistics Planning, Inventory Management, Supply Chain Management",Bangalore,B.Com
Process Engineer,ADANI TOTAL GAS LIMITED,"Pipeline Maintenance, Drilling Operations",Pune,BCA
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
Web Developer,SIEMENS LIMITED,"React, SQL",Kolkata,BCA
DevOps Engineer,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"Machine Learning, Python, Data Analysis, Java",Kolkata,PhD
Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA
Surveyor,CENTRAL COALFIELDS LIMITED,"Safety Management, Mining Engineering, Geology",Lucknow,B.Sc
Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
IT Support,MPHASIS LIMITED,"DevOps, Python, SQL",Hyderabad,M.Sc
DevOps Engineer,SOCIETE GENERALE SECURITIES INDIA PRIVATE LIMITED,"Java, Python, React",Delhi,MBA
Supply Chain Analyst,MARICO LIMITED,"Sales, Consumer Insights, Brand Management, Distribution",Remote,MBA
DevOps Engineer,JOHN DEERE INDIA PRIVATE LIMITED,"JavaScript, SQL, React, Cloud Computing",Bangalore,B.Com
Consumer Insights Analyst,APOLLO HOSPITALS ENTERPRISE LIMITED,"Marketing, Product Development",Mumbai,BCA
IT Support,WIPRO LIMITED,"React, Python, JavaScript",Mumbai,Diploma
Data Analyst,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"DevOps, SQL, Cybersecurity",Ahmedabad,B.Tech
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech
Machine Learning Engineer,GRT JEWELLERS (INDIA) PRIVATE LIMITED,"Data Analysis, SQL",Jaipur,BBA
Ore Processing Technician,RUNGTA MINES LIMITED,"Ore Processing, Mining Engineering",Pune,MBA
Machine Learning Engineer,CUMMINS INDIA LIMITED,"Java, DevOps",Pune,BCA
Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Marketing, Supply Chain, Brand Management, Distribution",Mumbai,BA
Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, DevOps",Kolkata,B.Sc
Machine Learning Engineer,BAGMANE DEVELOPERS PRIVATE LIMITED,"Cloud Computing, Data Analysis, Python",Kolkata,B.Sc
Data Analyst,SMFG INDIA CREDIT COMPANY LIMITED,"Java, SQL, JavaScript",Delhi,B.Sc
Design Engineer,THDC INDIA LIMITED,"Maintenance, Thermal Power, Power Plant Operations",Pune,BBA
Reservoir Engineer,INOX AIR PRODUCTS PRIVATE LIMITED,"Safety Compliance, Field Operations",Bangalore,PhD
Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA
Retail Manager,EMAMI LIMITED,"Brand Management, Marketing",Bangalore,MBA
Supply Chain Analyst,IPCA LABORATORIES LIMITED,"Distribution, Brand Management, Product Development",Hyderabad,BBA
Geologist,INOX AIR PRODUCTS PRIVATE LIMITED,"Refining, Reservoir Engineering",Ahmedabad,M.Sc
Site Engineer,BIRLA CARBON INDIA PRIVATE LIMITED,"Surveying, Estimation",Lucknow,BCA
QA Engineer,MUTHOOT FINANCE LIMITED,"Cybersecurity, React, SQL, JavaScript",Hyderabad,M.Sc
Mining Engineer,JINDAL SAW LIMITED,"Mining Engineering, Environmental Compliance",Delhi,B.Sc
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA
Retail Manager,DIVI S LABORATORIES LIMITED,"Brand Management, Product Development, Supply Chain, Marketing",Pune,BA
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc
Distribution Executive,AUROBINDO PHARMA LTD,"Brand Management, Consumer Insights, Product Development, Distribution",Hyderabad,BA
Web Developer,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"JavaScript, React",Kolkata,M.Sc
Retail Manager,PIRAMAL PHARMA LIMITED,"Product Development, Supply Chain, Retail Management",Delhi,B.Sc
Quality Inspector,COLOURTEX INDUSTRIES PRIVATE LIMITED,"Structural Design, Quality Control, Surveying, Project Management",Hyderabad,PhD
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma
DevOps Engineer,JOHN DEERE INDIA PRIVATE LIMITED,"JavaScript, SQL, React, Cloud Computing",Bangalore,B.Com
IT Support,REDINGTON LIMITED,"DevOps, JavaScript",Delhi,MBA
Supply Chain Analyst,EMCURE PHARMACEUTICALS LIMITED,"Retail Management, Marketing, Product Development",Pune,B.Sc
Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
Credit Analyst,CITY UNION BANK LIMITED,"Financial Analysis, Financial Modeling, Investment Banking, Wealth Management",Jaipur,M.Sc
Cloud Architect,ESCORTS KUBOTA LIMITED,"Data Analysis, Cybersecurity",Ahmedabad,Diploma
Web Developer,HDFC SECURITIES LIMITED,"Python, JavaScript, React, DevOps",Chennai,PhD
Environmental Officer,NORTHERN COALFIELDS LIMITED,"Exploration, Geology, Surveying, Safety Management",Chennai,MBA
Software Developer,ADITYA BIRLA SUN LIFE AMC LIMITED,"React, Python, Java",Lucknow,B.Sc
IT Support,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"JavaScript, SQL",Bangalore,B.Com
Brand Manager,JUBILANT FOODWORKS LIMITED,"Product Development, Distribution, Sales",Chennai,B.Tech
Cloud Architect,PRESTIGE ESTATES PROJECTS LIMITED,"Java, DevOps, Machine Learning, JavaScript",Ahmedabad,BBA
Distribution Executive,FRIGORIFICO ALLANA PRIVATE LIMITED,"Marketing, Retail Management, Product Development, Sales",Kolkata,BBA
Renewable Energy Specialist,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Renewable Energy, Energy Efficiency, Electrical Engineering, Power Plant Operations",Hyderabad,BBA
Construction Manager,GUJARAT FLUOROCHEMICALS LIMITED,"Project Management, Safety Management, Structural Design",Chennai,PhD
Renewable Energy Specialist,NHPC LIMITED,"Power Plant Operations, Electrical Engineering",Mumbai,Diploma
Power Plant Operator,MAHARASHTRA EASTERN GRID POWER TRANSMISSION COMPANY LIMITED,"Renewable Energy, Thermal Power",Delhi,Diploma
Safety Officer,WESTERN COALFIELDS LIMITED,"Surveying, Ore Processing",Chennai,M.Sc
Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Quality Control",Ahmedabad,B.Com
IT Support,JAQUAR AND COMPANY PRIVATE LIMITED,"Cybersecurity, Data Analysis, Machine Learning",Jaipur,BCA
Site Engineer,KEC INTERNATIONAL LIMITED,"Safety Management, Surveying, Structural Design, Project Management",Kolkata,MBA
Machine Learning Engineer,GRT JEWELLERS (INDIA) PRIVATE LIMITED,"Data Analysis, SQL",Jaipur,BBA
IT Support,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,"SQL, JavaScript",Jaipur,BCA
Mineral Processing Engineer,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,"Surveying, Exploration, Environmental Compliance, Ore Processing",Ahmedabad,B.Com
IT Support,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Data Analysis, Java",Pune,BA
Quality Inspector,ACC LIMITED,"Project Management, Estimation",Delhi,BCA
DevOps Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Python, React, Machine Learning",Jaipur,B.Com
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, JavaScript",Bangalore,M.Sc
RF Engineer,BHARTI TELEMEDIA LIMITED,"5G Technology, Network Engineering, IoT",Jaipur,B.Tech
Construction Manager,YARROW INFRASTRUCTURE PRIVATE LIMITED,"Structural Design, Civil Engineering",Remote,PhD
Software Developer,ADITYA BIRLA SUN LIFE AMC LIMITED,"React, Python, Java",Lucknow,B.Sc
Relationship Manager,BANDHAN BANK LIMITED,"Wealth Management, Auditing, Financial Analysis, Accounting",Kolkata,Diploma
IT Support,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Python, Java, React, Cloud Computing",Jaipur,BA
IT Support,INFOSYS BPM LIMITED,"Python, Machine Learning, React",Remote,MBA
QA Engineer,POLYCAB INDIA LIMITED,"SQL, Cybersecurity, DevOps",Remote,Diploma
IT Support,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Cloud Computing, Data Analysis",Pune,B.Com
QA Engineer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"React, Cybersecurity, Data Analysis, JavaScript",Chennai,B.Tech
